customer_id,stock_code,score
12346,23165,1.358444
12346,23167,1.3272855
12346,23307,0.89334226
12346,23243,0.8704159
12346,85175,0.83340275
12347,22467,1.3958741
12347,47591D,1.3656261
12347,21829,1.3073105
12347,POST,1.2833571
12347,22243,1.1907989
12348,21984,1.1075757
12348,22417,1.0836188
12348,21974,1.0592835
12348,21975,1.0384021
12348,21212,1.0075645
12349,84755,1.1740999
12349,22704,1.1582136
12349,22196,1.1054316
12349,22508,1.1000888
12349,37448,1.0765767
12350,21790,0.9027778
12350,22556,0.8781925
12350,21700,0.8454287
12350,22554,0.8335808
12350,21164,0.81367886
12351,22986,1.0117681
12351,22048,0.93649065
12351,22711,0.915065
12351,22047,0.90907836
12351,21495,0.89951336
12352,82600,1.0062568
12352,84978,0.9904113
12352,21231,0.9798017
12352,22644,0.92734236
12352,21907,0.90611285
12353,22644,0.9910542
12353,22055,0.9253508
12353,22059,0.9069007
12353,37448,0.8973572
12353,22066,0.86278695
12354,23206,0.9765295
12354,22139,0.94767714
12354,21241,0.9401884
12354,84997B,0.93592787
12354,22662,0.93049425
12355,22319,0.9100337
12355,85062,0.87045705
12355,23078,0.85278475
12355,72807C,0.8317792
12355,84596B,0.827018
12356,22819,1.24606
12356,22222,1.219944
12356,22215,1.1731596
12356,37495,1.1721822
12356,22236,1.1711687
12357,21731,1.2974545
12357,22064,1.2790436
12357,22198,1.2125881
12357,21577,1.1883372
12357,22449,1.1637378
12358,21114,1.0760031
12358,72756,1.0399742
12358,47556B,0.99680907
12358,85014A,0.99215853
12358,22111,0.9880332
12359,16156S,1.4173007
12359,22619,1.396149
12359,23233,1.3397845
12359,22670,1.3355676
12359,22704,1.2979766
12360,23076,1.2097065
12360,22650,1.2026654
12360,21830,1.1991905
12360,21980,1.1717896
12360,21126,1.1437129
12361,22662,1.0059388
12361,20727,0.92246425
12361,22551,0.880944
12361,22556,0.7980884
12361,22554,0.7927389
12362,22138,1.4092968
12362,22617,1.2711014
12362,20682,1.0820296
12362,22697,1.0319167
12362,20719,1.0269338
12363,22951,1.1134539
12363,84988,1.0372162
12363,22417,1.01471
12363,21975,0.9634858
12363,23308,0.9143654
12364,21975,1.0238388
12364,22417,1.0202193
12364,20983,0.9348116
12364,47590A,0.87581635
12364,22089,0.856709
12365,21136,0.9159386
12365,22219,0.8924053
12365,22584,0.8724883
12365,22938,0.8713759
12365,84879,0.8540621
12366,22294,0.6323694
12366,47566,0.6309424
12366,22295,0.62595403
12366,22296,0.62102544
12366,85123A,0.594609
12368,22064,0.9822438
12368,21700,0.96168464
12368,37447,0.9570175
12368,22649,0.9070701
12368,22063,0.86764216
12369,22585,1.5676734
12369,22945,1.2925987
12369,22584,1.282895
12369,22326,1.1779147
12369,22614,1.1630329
12370,84946,1.5871342
12370,22322,1.480932
12370,22318,1.3967513
12370,84947,1.340028
12370,22645,1.3119459
12371,22969,1.268127
12371,22810,1.1200979
12371,85216,1.0740614
12371,20718,1.0724907
12371,22049,1.0625455
12372,16161P,1.0821154
12372,21499,1.0251646
12372,21498,0.95317984
12372,21500,0.9398014
12372,22046,0.92516625
12373,20727,1.0279138
12373,22383,1.0170908
12373,21094,1.0163656
12373,22382,0.996701
12373,21086,0.9894928
12374,22352,1.1033919
12374,20725,1.0077326
12374,21936,0.995888
12374,84997A,0.98512936
12374,22630,0.9677817
12375,20712,0.86617756
12375,20711,0.84490466
12375,22385,0.8385902
12375,21931,0.8355224
12375,21928,0.82605404
12376,22865,0.8899802
12376,84945,0.87533987
12376,22867,0.8508534
12376,22866,0.8235715
12376,22111,0.79748434
12377,22405,1.1104904
12377,22584,1.1058459
12377,22812,1.0960449
12377,40016,1.0819092
12377,22634,1.0736388
12378,22654,1.4638276
12378,22195,1.4100981
12378,23076,1.3963886
12378,22132,1.3905075
12378,22637,1.3713098
12379,21242,1.0636508
12379,21238,1.0392509
12379,22138,1.0170476
12379,20914,0.9922075
12379,22892,0.9818641
12380,22740,1.1447486
12380,21218,1.0809762
12380,21533,1.0750327
12380,21535,1.0495834
12380,22242,1.0341761
12381,23307,1.1690986
12381,22969,1.1559289
12381,22549,1.0918248
12381,22951,1.0839875
12381,22620,1.0752435
12383,21976,1.1662999
12383,22951,1.0863798
12383,20674,1.0473189
12383,84828,1.0422814
12383,22956,1.0107353
12384,22630,0.58842266
12384,22629,0.5608685
12384,23293,0.5215117
12384,22631,0.52027696
12384,23296,0.480837
12385,22467,1.2517521
12385,22379,1.106899
12385,22378,1.1000658
12385,22380,1.0565072
12385,22377,1.0415668
12386,22554,0.7335199
12386,22556,0.7223282
12386,22553,0.7188353
12386,23182,0.6740656
12386,21136,0.667839
12387,22544,0.89800036
12387,22543,0.7714312
12387,21974,0.73103595
12387,22951,0.7297989
12387,22529,0.67569685
12388,22594,1.3464501
12388,22993,1.2858431
12388,21655,1.2387458
12388,22215,1.1343709
12388,23306,1.1300076
12389,21731,1.0213251
12389,10002,0.8790133
12389,21507,0.8643706
12389,22631,0.8456884
12389,22024,0.8308127
12391,20914,1.2815641
12391,22139,1.1908607
12391,21272,1.1534315
12391,84997B,1.1384921
12391,22138,1.1379352
12392,22318,0.6026966
12392,84580,0.5811244
12392,22898,0.47629118
12392,22669,0.46692026
12392,22668,0.45504487
12393,POST,1.3314853
12393,85232B,1.0600729
12393,22326,1.0268776
12393,47591D,1.0188127
12393,22668,1.0122128
12394,21239,0.961954
12394,21243,0.94427603
12394,20677,0.9271568
12394,22554,0.9238175
12394,21241,0.85474885
12395,21829,1.4248278
12395,22273,1.2441393
12395,22449,1.2276301
12395,22271,1.1669291
12395,22399,1.0989685
12396,21892,1.1879002
12396,20983,1.1402119
12396,22077,1.1028217
12396,22620,1.0642438
12396,20982,1.0525298
12397,22549,1.1643744
12397,22629,1.1374176
12397,21790,1.0130762
12397,21791,0.97390735
12397,22367,0.95254356
12399,22437,1.2298515
12399,20977,1.2025326
12399,22539,1.0899793
12399,21791,1.0723876
12399,21544,1.0684451
12400,22630,0.83918464
12400,21791,0.77204823
12400,22631,0.7385468
12400,22634,0.7064326
12400,22617,0.699914
12401,15056N,0.35703036
12401,20679,0.29177737
12401,15056P,0.26435816
12401,85014B,0.25814334
12401,85014A,0.25380772
12402,22379,1.0610418
12402,22555,1.0527275
12402,21931,1.0321953
12402,20711,1.0046002
12402,85099C,0.9840379
12403,84997B,0.8647542
12403,23256,0.4441474
12403,20677,0.40282136
12403,21245,0.38180646
12403,21243,0.38121182
12404,22310,0.004923271
12404,22604,0.004839727
12404,21785,0.0047945306
12404,22347,0.004582271
12404,21943,0.004426327
12405,23298,1.1416807
12405,21980,1.1315951
12405,84380,1.0486758
12405,22993,1.0075504
12405,20973,0.98809224
12406,22196,1.5175488
12406,22198,1.3741595
12406,84050,1.3703423
12406,POST,1.2978778
12406,84378,1.2966897
12407,21232,1.1078176
12407,84991,1.0849695
12407,21231,1.0694174
12407,22065,1.0683568
12407,23078,0.97419727
12408,22376,1.1055782
12408,22898,1.0981004
12408,22664,1.0666482
12408,79191C,1.053591
12408,23191,1.0411795
12409,23076,1.8661469
12409,84997D,1.6773083
12409,72741,1.6729153
12409,84997C,1.6661183
12409,84997B,1.6383854
12410,22720,1.0322546
12410,21172,0.9924776
12410,82578,0.9813168
12410,82581,0.97848237
12410,82580,0.9613086
12411,20723,0.87346596
12411,20724,0.8631719
12411,22380,0.81154
12411,22382,0.80197495
12411,21791,0.7839035
12412,21731,1.5214498
12412,22139,1.3290439
12412,22138,1.2875473
12412,21790,1.248635
12412,21786,1.1800876
12413,20725,0.99494636
12413,22382,0.98669016
12413,20727,0.925352
12413,22384,0.9252182
12413,22383,0.91693586
12414,84077,1.0754675
12414,22553,1.0654724
12414,21080,0.9935999
12414,20973,0.9621662
12414,22333,0.93435156
12415,21495,1.475694
12415,22084,1.3497669
12415,85177,1.3360422
12415,84828,1.3260487
12415,22558,1.3084364
12416,21907,1.0060275
12416,82583,0.9706805
12416,85150,0.9675866
12416,82600,0.9663044
12416,21175,0.96156883
12417,21114,1.6659253
12417,22045,1.5737286
12417,21706,1.4795501
12417,21210,1.342989
12417,85216,1.3390326
12418,21889,1.3244861
12418,21621,1.190022
12418,21497,1.182935
12418,22084,1.1719427
12418,21186,1.1692997
12419,84978,1.1750616
12419,82580,0.91746604
12419,22130,0.88191307
12419,22893,0.8634543
12419,84946,0.82573783
12421,21231,1.1074293
12421,22851,1.0592209
12421,22645,1.0216265
12421,22644,1.0040251
12421,22064,0.9808271
12422,22602,1.3002856
12422,22575,1.2477967
12422,22319,1.226152
12422,22652,1.222902
12422,84884A,1.1978259
12423,22644,1.3875779
12423,22540,1.1224539
12423,23077,1.1121838
12423,22109,1.1095368
12423,22466,1.1058798
12424,22087,1.5072558
12424,84987,1.3063788
12424,21504,1.1649108
12424,22423,1.1574036
12424,21497,1.1358654
12425,72741,1.5279291
12425,85178,1.249997
12425,20754,1.1553571
12425,21746,1.1210856
12425,21294,1.110237
12426,21871,1.2277312
12426,37370,1.1041347
12426,20676,1.0171069
12426,21242,0.9957843
12426,22553,0.97236764
12427,22138,0.683968
12427,22617,0.64720726
12427,20981,0.63056475
12427,22551,0.55895317
12427,22585,0.54673076
12428,22668,1.6619171
12428,22907,1.6492015
12428,47566B,1.5290991
12428,21136,1.5162492
12428,21397,1.4393001
12429,22530,1.5599142
12429,22534,1.5537139
12429,22492,1.5375462
12429,22549,1.2103889
12429,22398,1.1655335
12431,47566,1.5060669
12431,82494L,1.4182103
12431,21754,1.3989983
12431,84828,1.3425198
12431,82482,1.3282256
12432,21746,1.2740796
12432,22242,1.2704712
12432,22243,1.1730785
12432,84212,1.0809236
12432,22614,1.0633901
12433,22937,1.659795
12433,21985,1.4640908
12433,22441,1.4552352
12433,21785,1.3984277
12433,21986,1.3793827
12434,20975,0.90681624
12434,20974,0.78556573
12434,20682,0.78421915
12434,20718,0.7771565
12434,POST,0.7587497
12435,21137,1.3505414
12435,22962,1.2985718
12435,22963,1.2806296
12435,22559,1.2088066
12435,22979,1.2021129
12436,23307,1.0161017
12436,22993,0.9436729
12436,84380,0.9423801
12436,21212,0.9291638
12436,84378,0.9205828
12437,22418,1.8771046
12437,16033,1.5066447
12437,84978,1.421978
12437,16236,1.4058174
12437,22433,1.4037254
12438,20981,1.1274436
12438,21731,1.118005
12438,22549,1.0989681
12438,22492,1.0884836
12438,21915,1.0702331
12439,85062,1.08533
12439,21754,1.0193288
12439,21107,1.017952
12439,21108,0.99841225
12439,22114,0.9655303
12440,22139,0.73608375
12440,22329,0.7271291
12440,21559,0.7108272
12440,21246,0.66365016
12440,22326,0.6557033
12441,16161P,1.0058593
12441,16156S,0.91385984
12441,21497,0.8028159
12441,22050,0.7861613
12441,22704,0.74632627
12443,21231,0.85984623
12443,85217,0.79970396
12443,72741,0.7691699
12443,71477,0.75135994
12443,22064,0.73262924
12444,22699,1.1141403
12444,21672,1.0356486
12444,82494L,1.0194042
12444,21668,1.0138462
12444,23170,0.9992746
12445,21892,0.8990978
12445,22520,0.8723422
12445,22521,0.8715397
12445,22444,0.8112697
12445,22693,0.7850169
12447,21240,0.92590606
12447,21243,0.9008384
12447,20675,0.89915913
12447,22557,0.8973707
12447,21244,0.89108855
12449,20914,1.3988292
12449,22666,1.3231337
12449,20981,1.2651794
12449,20983,1.2397618
12449,22551,1.1830089
12450,22356,1.0986025
12450,21877,1.0918477
12450,22355,1.0577018
12450,22382,0.9979766
12450,22383,0.97189057
12451,22567,1.6192296
12451,22418,1.3884933
12451,22466,1.3605553
12451,22379,1.335182
12451,15034,1.3315158
12453,POST,1.1734055
12453,20749,1.1014538
12453,20750,1.0951797
12453,23294,1.055398
12453,22556,0.9979913
12454,22674,1.1278269
12454,22672,1.0335367
12454,22565,0.99983287
12454,22566,0.931239
12454,82581,0.93111485
12455,22464,1.5396857
12455,71053,1.4356807
12455,20982,1.3266459
12455,21067,1.3236992
12455,71477,1.3005085
12456,79000,1.1886019
12456,22791,1.1815072
12456,22553,1.1626754
12456,21829,1.093183
12456,22437,1.0880922
12457,22138,1.1888565
12457,22139,1.1558664
12457,22617,1.1065075
12457,21731,1.045105
12457,21790,1.0061002
12458,22319,1.1537616
12458,22082,1.1388947
12458,22382,1.0523416
12458,22079,1.0354617
12458,84997B,1.0334678
12459,22215,0.82387507
12459,21210,0.7916473
12459,22938,0.78925985
12459,21126,0.77630794
12459,22356,0.7655312
12460,22556,0.9581314
12460,22555,0.95525366
12460,21500,0.8821168
12460,22557,0.85773945
12460,21499,0.8545198
12461,22497,0.95414054
12461,22557,0.9100702
12461,22755,0.89327824
12461,22555,0.87853885
12461,22556,0.8696859
12462,84755,1.2378572
12462,71477,1.1000926
12462,22646,1.0457842
12462,84949,1.0145524
12462,22649,0.9612303
12463,23077,1.1834289
12463,20981,1.0793359
12463,23158,1.0330815
12463,22922,1.0226414
12463,22969,1.0191106
12464,22626,0.6663742
12464,22627,0.6395453
12464,22425,0.6167058
12464,22424,0.6072373
12464,22781,0.5670303
12465,22417,1.0012398
12465,21976,0.99978215
12465,84991,0.95182455
12465,21977,0.9400232
12465,22138,0.9098294
12466,22310,0.0049232715
12466,22604,0.004839727
12466,21785,0.004794531
12466,22347,0.004582271
12466,21943,0.0044263275
12467,22816,0.8849231
12467,22731,0.82142615
12467,22732,0.7965025
12467,22910,0.7799486
12467,22733,0.76117986
12468,22531,1.1811711
12468,22245,1.1685964
12468,21082,1.1023873
12468,23155,1.0967913
12468,22740,1.0927702
12469,20658,1.2376844
12469,21260,1.1808305
12469,20669,1.1744618
12469,21135,1.1630594
12469,POST,1.1521273
12470,22457,0.86464727
12470,22082,0.81260127
12470,84970S,0.80865574
12470,22077,0.76487684
12470,84978,0.70486885
12471,22637,1.7231356
12471,21556,1.663116
12471,20973,1.4722155
12471,22134,1.4648201
12471,22488,1.3155398
12472,22319,1.3388091
12472,22909,1.2628775
12472,20973,1.2315238
12472,22617,1.2313044
12472,23298,1.2197869
12473,22585,1.3010507
12473,47566,1.1504807
12473,22077,1.1070036
12473,22090,1.0766264
12473,16161P,1.046017
12474,10125,1.4306386
12474,22231,1.3688873
12474,20973,1.3548354
12474,22318,1.2877235
12474,22444,1.2644755
12475,22418,1.1293219
12475,22551,0.9819783
12475,22554,0.88765246
12475,22530,0.8775462
12475,22555,0.81713456
12476,21260,1.4737957
12476,21696,1.4507625
12476,22567,1.4361097
12476,22972,1.3799682
12476,22494,1.3035882
12477,22969,1.8766991
12477,72741,1.6200852
12477,85216,1.4196284
12477,POST,1.4047878
12477,20963,1.3829557
12480,22531,1.5771798
12480,22492,1.5718027
12480,47591D,1.2618902
12480,21156,1.1967254
12480,22367,1.1966567
12481,22489,1.533118
12481,22483,1.4664682
12481,21155,1.370705
12481,22050,1.3021731
12481,22494,1.2754376
12482,22561,1.4672031
12482,22535,1.263694
12482,20713,1.1723804
12482,15036,1.1714588
12482,22489,1.1560974
12483,22444,1.5339286
12483,22834,1.1313215
12483,85232B,1.0915346
12483,22449,1.0864807
12483,22231,1.0789845
12484,22138,1.4397106
12484,10135,1.365982
12484,22650,1.3512504
12484,23078,1.3503315
12484,22021,1.341511
12485,21700,1.0020657
12485,21731,0.9725264
12485,21934,0.9470875
12485,21935,0.9244188
12485,POST,0.8865264
12486,22274,1.1707337
12486,22272,1.1298238
12486,84270,1.1157167
12486,47591D,1.0595037
12486,22617,1.0400227
12487,22466,0.581061
12487,21452,0.5655787
12487,84692,0.5138954
12487,22326,0.45182538
12487,85042,0.43275502
12489,22617,0.8016159
12489,22326,0.78686196
12489,21731,0.7677151
12489,21212,0.7577902
12489,22029,0.7113132
12490,22435,1.4907045
12490,23076,1.2349515
12490,23078,1.2073073
12490,22618,1.1799003
12490,21787,1.1551139
12492,22554,0.9876683
12492,21673,0.94482476
12492,22557,0.9332286
12492,21672,0.92470694
12492,22138,0.92067075
12493,20726,0.98507726
12493,20727,0.95445466
12493,21936,0.9249413
12493,22662,0.9015099
12493,85099F,0.82893395
12494,20719,1.0975845
12494,84050,1.0872028
12494,22131,1.0501233
12494,21169,1.04112
12494,20914,1.0368092
