customer_id,stock_code,score,rank
12346.0,15056N,0.7268563,1
12346.0,21523,0.7202651,2
12346.0,POST,0.7196022,3
12346.0,M,0.6508177,4
12346.0,48194,0.63457006,5
12347.0,23084,0.3605914,1
12347.0,22721,0.23056424,2
12347.0,22727,0.2254485,3
12347.0,22725,0.21944895,4
12347.0,84992,0.18147233,5
12348.0,84993A,1.0483019,1
12348.0,84992,1.0483019,2
12348.0,84989B,0.8417047,3
12348.0,21976,0.8396924,4
12348.0,21212,0.8243997,5
12349.0,20685,0.57019055,1
12349.0,21527,0.55132353,2
12349.0,48194,0.5333916,3
12349.0,21523,0.49556687,4
12349.0,21843,0.44779527,5
12350.0,21169,0.6573114,1
12350.0,21171,0.58087164,2
12350.0,21172,0.58087164,3
12350.0,22553,0.57416034,4
12350.0,22551,0.57416034,5
12351.0,21556,0.5763583,1
12351.0,22667,0.552519,2
12351.0,22423,0.5443646,3
12351.0,22302,0.51336545,4
12351.0,22955,0.5010108,5
12352.0,22624,0.6562283,1
12352.0,22721,0.5799397,2
12352.0,22627,0.54647666,3
12352.0,22667,0.532208,4
12352.0,22666,0.51694405,5
12353.0,21232,0.84750247,1
12353.0,22064,0.75173473,2
12353.0,37449,0.71735466,3
12353.0,21231,0.6572252,4
12353.0,37450,0.6420133,5
12354.0,21238,0.8087686,1
12354.0,21242,0.7074113,2
12354.0,21243,0.6066491,3
12354.0,21244,0.6066491,4
12354.0,20728,0.5981898,5
12355.0,21232,0.67626035,1
12355.0,22423,0.5746061,2
12355.0,21231,0.5191496,3
12355.0,22424,0.5144898,4
12355.0,22064,0.43932018,5
12356.0,21232,0.69217306,1
12356.0,84993A,0.6550213,2
12356.0,84992,0.6550213,3
12356.0,22060,0.6502917,4
12356.0,21213,0.5829077,5
12357.0,22030,0.4016992,1
12357.0,22029,0.35410053,2
12357.0,21232,0.35232887,3
12357.0,22027,0.2888042,4
12357.0,22865,0.25408003,5
12358.0,15056N,0.8102327,1
12358.0,21232,0.7891208,2
12358.0,37449,0.67841834,3
12358.0,85014B,0.6419659,4
12358.0,85014A,0.6419659,5
12359.0,22624,0.48097745,1
12359.0,22625,0.33182165,2
12359.0,22666,0.32695422,3
12359.0,22430,0.31526208,4
12359.0,22627,0.29652485,5
12360.0,22551,0.60547817,1
12360.0,22553,0.60547817,2
12360.0,21238,0.5869761,3
12360.0,22029,0.52704614,4
12360.0,22030,0.4530259,5
12361.0,20728,1.2120345,1
12361.0,20727,1.1157073,2
12361.0,20726,1.068686,3
12361.0,20724,1.0266325,4
12361.0,22383,0.99309844,5
12362.0,22630,0.62071306,1
12362.0,23084,0.4898622,2
12362.0,20728,0.43467218,3
12362.0,23205,0.42183146,4
12362.0,23206,0.3969153,5
12363.0,21212,0.9660961,1
12363.0,21213,0.9506695,2
12363.0,22952,0.93181676,3
12363.0,21977,0.8731078,4
12363.0,21974,0.81764907,5
12364.0,21058,0.9207578,1
12364.0,21212,0.86333567,2
12364.0,21213,0.751588,3
12364.0,21124,0.72576004,4
12364.0,21988,0.7177214,5
12365.0,22430,0.612329,1
12365.0,21232,0.5399755,2
12365.0,22423,0.5368418,3
12365.0,85123A,0.52067524,4
12365.0,22701,0.5140877,5
12366.0,84879,0.8337016,1
12366.0,21136,0.7877431,2
12366.0,22157,0.64722836,3
12366.0,21137,0.62365705,4
12366.0,21159,0.6224435,5
12367.0,22630,0.5501583,1
12367.0,22629,0.47124392,2
12367.0,POST,0.4431516,3
12367.0,22631,0.42014036,4
12367.0,22549,0.4159418,5
12368.0,21231,0.88958544,1
12368.0,21232,0.78585124,2
12368.0,37449,0.61808217,3
12368.0,47591D,0.5851321,4
12368.0,21242,0.5822528,5
12369.0,20728,0.6420959,1
12369.0,47559B,0.6279085,2
12369.0,21500,0.61670053,3
12369.0,22242,0.6046034,4
12369.0,POST,0.5463635,5
12370.0,20971,0.73591936,1
12370.0,20972,0.47020662,2
12370.0,85123A,0.4553234,3
12370.0,22086,0.40600634,4
12370.0,22755,0.35998017,5
12371.0,22865,0.3493124,1
12371.0,22633,0.3461179,2
12371.0,21479,0.3078002,3
12371.0,22312,0.28867036,4
12371.0,85123A,0.27999428,5
12372.0,22551,1.0009475,1
12372.0,22553,1.0009475,2
12372.0,POST,0.90917665,3
12372.0,22549,0.8982157,4
12372.0,22555,0.8494232,5
12373.0,20728,0.9522849,1
12373.0,20719,0.93335235,2
12373.0,20727,0.8786065,3
12373.0,POST,0.8387267,4
12373.0,20713,0.826246,5
12374.0,20728,0.6570491,1
12374.0,22865,0.53407514,2
12374.0,21238,0.49825737,3
12374.0,20727,0.49339852,4
12374.0,22384,0.49103674,5
12375.0,23201,0.8506743,1
12375.0,21930,0.83811384,2
12375.0,20719,0.8169255,3
12375.0,20713,0.8008758,4
12375.0,23203,0.79151875,5
12376.0,22865,0.7258634,1
12376.0,85123A,0.7087938,2
12376.0,22114,0.61789024,3
12376.0,20728,0.60123163,4
12376.0,22631,0.594368,5
12377.0,22630,0.47767067,1
12377.0,22328,0.47263336,2
12377.0,22551,0.41029358,3
12377.0,22553,0.41029358,4
12377.0,22030,0.40493095,5
12378.0,22630,0.28791505,1
12378.0,20728,0.28420535,2
12378.0,22383,0.23156081,3
12378.0,22384,0.23156081,4
12378.0,47559B,0.23029408,5
12379.0,20728,0.95495707,1
12379.0,20727,0.91842014,2
12379.0,20726,0.8871299,3
12379.0,22553,0.84895724,4
12379.0,22551,0.84895724,5
12380.0,20728,0.78015405,1
12380.0,20719,0.75829357,2
12380.0,20727,0.6808254,3
12380.0,20726,0.6513934,4
12380.0,POST,0.64327973,5
12381.0,23084,0.7607243,1
12381.0,23194,0.6335404,2
12381.0,POST,0.60276526,3
12381.0,22630,0.5446961,4
12381.0,22727,0.5324741,5
12383.0,21124,0.7099989,1
12383.0,21080,0.69945806,2
12383.0,POST,0.6243771,3
12383.0,21238,0.61533535,4
12383.0,21121,0.57726204,5
12384.0,POST,0.7499302,1
